epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,22615.2,1.30351,5.15184,1.65381,0.50725,0.59877,0.56965,0.38299,1.78533,5.63394,1.35161,0.0001354,0.0001354,0.0001354
133,22788.8,1.31392,5.19548,1.69147,0.42967,0.63297,0.56236,0.3808,1.78516,5.6743,1.34806,0.0001288,0.0001288,0.0001288
134,22956.8,1.31487,5.23991,1.69847,0.448,0.6088,0.55395,0.37942,1.75754,5.61102,1.33144,0.0001222,0.0001222,0.0001222
135,23136.4,1.34055,5.29726,1.66776,0.42937,0.60399,0.55853,0.38895,1.71502,5.57983,1.30585,0.0001156,0.0001156,0.0001156
136,23305.8,1.39398,5.2948,1.68068,0.41075,0.6509,0.55057,0.38754,1.70976,5.58316,1.29876,0.000109,0.000109,0.000109
137,23483.9,1.31774,5.25906,1.66898,0.39362,0.67423,0.55736,0.38856,1.72431,5.54948,1.31082,0.0001024,0.0001024,0.0001024
138,23647.1,1.32388,5.32763,1.6915,0.36372,0.64612,0.50778,0.34863,1.79843,6.6266,1.36987,9.58e-05,9.58e-05,9.58e-05
139,23819.6,1.30893,5.1434,1.62724,0.34496,0.60254,0.50376,0.34568,1.84762,6.83231,1.38946,8.92e-05,8.92e-05,8.92e-05
140,23945.2,1.34636,5.20992,1.72015,0.38412,0.57165,0.53306,0.36147,1.8173,6.3472,1.37396,8.26e-05,8.26e-05,8.26e-05
141,24045.3,1.3772,5.50933,1.65433,0.37995,0.57992,0.54027,0.36483,1.80002,6.39509,1.36954,7.6e-05,7.6e-05,7.6e-05
142,24140.6,1.34042,5.24107,1.61149,0.38436,0.54009,0.5152,0.35904,1.81853,6.82599,1.3682,6.94e-05,6.94e-05,6.94e-05
143,24237.9,1.33386,5.30043,1.61205,0.38177,0.4981,0.50726,0.35574,1.82885,6.83865,1.37524,6.28e-05,6.28e-05,6.28e-05
144,24332.7,1.34706,5.26505,1.60229,0.38124,0.52433,0.51265,0.35901,1.82545,6.77108,1.3835,5.62e-05,5.62e-05,5.62e-05
145,24430.7,1.3345,5.13811,1.57051,0.37431,0.5212,0.51329,0.35758,1.80546,6.70708,1.38084,4.96e-05,4.96e-05,4.96e-05
146,24530.2,1.31686,4.9577,1.57363,0.51014,0.47429,0.51717,0.36246,1.79074,6.64774,1.38385,4.3e-05,4.3e-05,4.3e-05
147,24630.7,1.32281,4.96115,1.5674,0.53645,0.45374,0.51946,0.3669,1.77983,6.62241,1.38372,3.64e-05,3.64e-05,3.64e-05
148,24733,1.30617,4.87248,1.56796,0.52247,0.46795,0.5135,0.36164,1.78166,6.65881,1.38894,2.98e-05,2.98e-05,2.98e-05
149,24830.6,1.2871,4.98817,1.56616,0.49985,0.46089,0.49406,0.35004,1.77759,6.70119,1.39012,2.32e-05,2.32e-05,2.32e-05
150,24930.5,1.32011,4.93149,1.55742,0.40163,0.54064,0.49182,0.34384,1.77386,6.76177,1.38945,1.66e-05,1.66e-05,1.66e-05
